,content
0,"대다수 저비용 항공사 취항 중 워낙 인기 있는 여행지다 보니 대다수의 국내 항공사들이 매일 취항합니다. #제주항공, #이스타항공, #진에어, #티웨이항공, #에어서울, #대한항공, #아시아나항공. 외항사로는 베트남 국적기인 비엣젯항공과 베트남항공이 수시로 운항해요. 경유편은 마카오를..."
1,"시간 안지키는 항공사, 면면이다. 시간을 안지킨다는 건, 툭하면 지연되고, 늦어진다는 얘기니, 이 항공사 만큼은 피해야 한다는 것. 결론부터 말씀드린다. 항공은 이스타가 지연율 톱, 공항은 늘 붐비는 제주공항이 지연율 톱을 각각 기록했다. 짜증, '지대로'라는 의미다.   국내선 이스타..."
2,"얼마 전, 아이슬란드 저가항공사인 와우 항공이 그 직전까지 예약 받아놓고 하루아침에 파산 선언하고 비행 스케쥴을 다 취소해버린 일이 있었다. 예약했던 사람들은 스케쥴이 꼬인 건 물론, 훨씬 비싼 항공편을 급하게 사야하는 상황에 놓였는데, 항공사가 이 정도로 무책임하게..."
3,2010년 이래로 단 한순간도 '세계 최고의 비즈니스 클라스' 상을 놓쳐본 적이 없는 상부자 카타르 항공은 5 star 항공사답게 데드헤딩 크루에게... 항공사 수입의 대부분은 이코노미가 아닌 비즈니스에서 나온다. 가격이 2배 이상 차이나니 서비스가 다른 건 당연한 이치다. 좌석 퀄리티나...
4,카운터에서 항공사 협회 라운지를 이용하라고 안내를 받았는데... 음... 아무리 외국 항공사라도 그래도 비즈니스석인데 이건 너무한 거 아닌가 싶은 -_- 주전부리할 것도 거의 없고 앉을 자리도 마땅치 않아서 어이가 없었다 __+ 귀한 분은 라운지 밖에 나와 복도(?)에서 뽀로로와 재미있게 놀았다는...
5,"인천공항 제2여객터미널 항공사 는 어떤 항공사들이 있는지 궁금해 하실분들을 위해 검색해 봤는데요. 일단 가장 대표적인 대한항공!! 그리고 델타항공, 에어프랑스, 알리탈리아 KLM네덜란드항공, 아에로멕시코항공, 중화항공, 가루다인도네시아 항공, 샤먼항공, 체코항공, 아에로플로트 이렇게..."
6,항공사 기장인 C의 경우를 볼까요. 그는 턱수염을 기르고 있었는데 이는 청결한 상태를 유지해야 한다는 항공사의 용모규정에 어긋나는 것이었습니다. 그런데도 면도를 하라는 상관의 지시를 따르지 않고 취향을 고집했는데요. 결국 항공사는 C의 비행업무를 정지시켰고 C는 즉각...
7,"시간 안지키는 항공사, 면면이다. 시간을 안지킨다는 건, 툭하면 지연되고, 늦어진다는 얘기니, 이 항공사 만큼은 피해야 한다는 것. 결론부터 말씀드린다. 항공은 이스타가 지연율 톱, 공항은 늘 붐비는 제주공항이 지연율 톱을 각각 기록했다. 짜증, '지대로'라는 의미다.   국내선 이스타..."
8,5주 동안 각 팀마다 항공사 스타트업을 차리기. 기종은 무엇으로 할 거고 풀서비스(FSC)이냐 저가항공(LCC)이냐 private jet이냐 어디로 취항할 거고... 저가항공사가 있음에도 불구하고 우리는 우리 모델로 타항공사와 경쟁하기보다는 수요가 많지만 아무도 취항하지 않는 곳으로 가기로 했다...
9,"인천공항 탑승수속 카운터 항공사 국제선 국내선 우리가 해외여행을 하게 되면 가장 먼저 도착하게 되는 에어포트. 도착해서 일단 환전할 돈 찾고... 탑승수속 항공사 카운터. 오후 늦은 시간에 오니까 거의 아시아권으로 가는게 대부분. 이건 또 처음 알았다. 거의 다 동남아나 일본, 내지 가까운..."
