,content
0,싱가폴 항공 좋음.  연착이 거의 없음. 케세이도 괘않앗음.  기종도 전반적으로 오래된 느낌 없음.  반면 대한항공 아시아나는 연착이 너무 자주 일어나고.  기종이 넘 오래됨.  우물안 개구리라고 우리나라국민들에게만 포커스를 두니 대충하는 모냥
1,"타이항공은 밥 다먹었다싶으면 후식주고 또 다먹으면초콜릿주고 또 다먹으면 주스주고;;;;
배터짐  "
2,인천공항은 순워권인데 항공사는 뭐임     
3,전 개인적으로 에미렛... 쇼퍼서비스정말.... 두바이 스탑오버 유럽갔을때 쇼퍼총6번받았는데 진짜 최고.....지방 살아서 광명역에서 리무진타야하는데 쇼퍼기사분께서 제네시스로 오셔서 태워줌 너무 편함.... 두바이랑 유럽에서는 벤츠더라구요 호텔갈때 공항에서 쇼퍼타고가는게 진짜 너무 편하더라구요 교통 걱정안해도되고 그냥 마음이   너무 편함
4,에미레이트 타보고 싶은데 개인적으로 쫌 비싸다고 생각하는데 저만 그런가요?
5,아시아나는 기내 청소부터 제대로 해라.
6,0:51 스 rr 얼라이언스
7,두바이갈때 에미레이트 이코노미탔는데 헤드셋도주고 기내식 개맛있음....화장실도 진짜 호텔급으로 좋음....
8,유럽갈때 두바이통해서 경유로 갔었는데 에메레이트 항공이 처음엔 몰랐는데 제일 좋았던 항공사 였습니다   
9,"루프트한자 비즈니스를 타봤는데 
서비스도 괜찮고 기내식도 맛있더라고요."
10,4.3선거 결과
11,실래할수없슴 카타르항공 문디같은디
12,"마일리지보다 가격이 싼 거를 고르게 되죠.
둘 중에 하나면 마일리지보다  당장 가격이 저렴한 걸로 해요."
13,에티하드항공은요?
14,카타르항공은 기종 카타르에어웨이 A350을 만들었어요.
15,역시 아나항공
16,기름국이 최고임
17,난 에어프랑스가 좋던데...
18,난 에티하드밖에 안타봤는데   
19,싱가폴항공 최고
20,대한항공
21,Air New Zealand 안타봤음??
