,content
0,싱가폴 항공 좋음.  연착이 거의 없음. 케세이도 괘않앗음.  기종도 전반적으로 오래된 느낌 없음.  반면 대한항공 아시아나는 연착이 너무 자주 일어나고.  기종이 넘 오래됨.  우물안 개구리라고 우리나라국민들에게만 포커스를 두니 대충하는 모냥
1,대한항공
2,"아시아나는 요즘 고전하고 있는 양상임. LCC는 치고 들어오지 장거리에서는 대항항공과 경쟁에서 밀리지..
기체는 점점 노후화되고..퍼스트클래스도 거의 빼버리는 추세고. 정비에 대한 말도 나오고 있고..
저는 스카이패스, 친구는 아시아나 마일리지 모으는데 친구도 마일리지는 모으고 있지만 노선이 한정되서 장거리같으면
1년전부터 알아봐야한다고.. 
시중에서 신용카드로 마일리지 적립할 때 아시아나가 대한항공보다 조금 더 적립율 높게 주는 이유가 다 있다고 하네요.."
3,대한항공 없으니 충격적이네.
4,서비스 제외하고 나머지에선 그렇게 최고인지 모르겠는데요. 평의한듯요. 실제 랭킹도 중간정도... 오히려 사고가 많조. 안전부분이 좀... 미국에선 대한항공 탑승 안하는쪽으로 권고하는데요...
5,"서비스는 대한항공, 안전은 캐세이퍼시픽"
6,거의 다 타봤는데요. 비지니스빼고   . 대한항공이 최고.
7,대한항공은  국적기가 아닙니다.그냥 민항기입니다
8,"대한항공,아시아나가 top10에 올라서 자랑스럽다"
9,대한항공 NO1 .
10,"전 아시아나항공 A380 일등석으로 LA갔었는데
진짜 좋더라구요 대한항공 일등석도 좋았지만
배스트 일등석은 싱가포르항공 A380 일등석과
에티하드항공 일등석이 제일 좋았던거 같아요"
11,외국인 친구들이 한결같이 하는 말인데 대한항공 아시아나 모두 영어소통이 잘 안된다고 하더라고요. 제가 탔을때는 다들 안내방송도 매끄러워서 괜찮았는데 케바케인가봐요   
12,"대한항공이 최고던데. 대한민국 항공사 중.

아시아나는 노후기종 천국에, 무슨 복권 뽑 듯 기종 변동 심하고, 기종에 따른 시설 차이가 너무 극렬하게 나서 타기가 싫음.
대한항공은 기종간 시설 차이가 별로 없어서 어떤 기종이 걸려도 큰 문제는 없음.

=================
그리고  이거 순위는 영국 스카이트랙 을 바탕으로 하신 거 같은데 스카이트랙 순위 너무 믿지 마셔요. 그냥 재미로.
솔직히 실제 평가는 대한항공이 소비자 평가에서 탑 10위 안에 다 들어가게 나오는 곳도 많음. 그러나 아시아나는 언급 따위 없음"
13,항공기 연식은 아시아나나 대한항공이나 매이저로 이용하는 항공기들은 최신이나 최상급일텐데 최상의 서비스를 제공하지못해서그런거같네요
14,이와중에 대한항공은 없네 .
15,유니품 정도는 세계 항공사 순위 4위에 선정돠었다던 아랍의 에미레이트 항공을 이겨버리는 우리나라 대한항공
16,에티하드도 없고 특히 이상한게 왜 아시아나죠 대한항공도 아니고...
17,난대한항공이편한데
18,대한항공은 없네    
19,진짜 궁금해서 그러는건데 같은 거리를 가도 여기 나온 항공사보다 대한항공 아시아나가 대부분 항공권 더 비싸던데 왜그런거임?? 더 좋은 항공사가 더 비싸야 정상 아닌가??
20,국내선은 저가나 일반 항공사나 차이 없음. 오히려 아시아나나 대한항공이 더 쌀 때도 많음.
21,"어니 근데 오류가 좀 있네요 국내선은 저가항공이나 대형항공사나 다 영수증같이 생겼고,심지어 프레스티지석(대한항공 비즈니스)도 영수증처럼 나오지만,국제선은 모든항공사들이 다 티켓으로 나옵니다."
22,제주도 수학여행갈때 대한항공인가 아시아나던가 탄거같던대 영수증으로 주던댐
